,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,number_of_reviews,latitude,longitude,room_type,maximum_nights,availability_30,bedrooms,beds,price,minimum_nights,availability_60,availability_90,availability_365,instant_bookable,host_days_on_Airbnb,Borough
13888,f,t,t,2,11,33.98994,-118.47533,Entire home/apt,90,0,,1.0,90.0,30,4,34,124,f,2109.0,City of Los Angeles
13889,f,t,t,2,3,34.03016,-118.48743,Entire home/apt,60,0,1.0,1.0,108.0,30,0,0,0,f,1246.0,Other Cities
13890,t,t,t,16,110,34.17205,-118.57082,Entire home/apt,21,2,9.0,14.0,1061.0,2,2,10,244,f,2906.0,City of Los Angeles
13891,t,t,t,6,131,33.76888,-118.14486,Entire home/apt,29,4,2.0,3.0,219.0,3,4,6,61,t,2103.0,Other Cities
13892,f,t,t,1,16,34.14421,-118.24194,Private room,1125,26,1.0,1.0,99.0,1,56,86,86,f,3148.0,Other Cities
13893,f,t,t,2,0,34.10633,-118.05151,Private room,365,21,2.0,2.0,68.0,4,51,81,356,f,3658.0,Other Cities
13894,t,t,t,3,10,34.08359,-118.25976,Entire home/apt,1125,0,2.0,2.0,155.0,30,0,0,0,f,3267.0,City of Los Angeles
13895,f,t,f,1,2,34.12406,-117.88532,Private room,1125,0,1.0,1.0,40.0,1,0,0,0,f,1296.0,Unincorporated Areas
13896,f,t,t,8,13,34.07573,-118.3759,Entire home/apt,1125,6,3.0,4.0,300.0,30,15,25,90,t,1800.0,City of Los Angeles
13897,t,t,t,2,79,33.99701,-118.38586,Private room,30,0,1.0,1.0,73.0,2,22,46,50,f,2605.0,Other Cities
13898,t,t,t,2,7,34.05062,-118.326,Entire home/apt,120,0,,1.0,90.0,30,0,0,122,t,2415.0,City of Los Angeles
13899,t,t,t,2,58,34.65856,-118.22953,Private room,1125,5,,1.0,39.0,3,35,65,154,t,1263.0,Other Cities
13900,f,t,t,2,0,34.10074,-118.28231,Private room,1125,0,1.0,1.0,130.0,30,0,0,0,f,1767.0,City of Los Angeles
13901,t,t,t,8,64,34.08783440649957,-118.18744303953164,Entire home/apt,1125,5,4.0,4.0,329.0,3,33,62,62,f,3496.0,City of Los Angeles
13903,f,t,f,7,2,34.01105,-118.34829,Private room,1125,0,1.0,1.0,38.0,30,0,0,0,f,1251.0,City of Los Angeles
13905,f,t,t,2,1,33.98769,-117.936,Private room,1125,0,1.0,1.0,100.0,1,0,0,0,f,1237.0,Unincorporated Areas
13906,f,t,t,2,10,34.03559,-118.47552,Private room,7,0,1.0,1.0,94.0,1,0,0,0,f,4319.0,Other Cities
