,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,number_of_reviews,latitude,longitude,room_type,maximum_nights,availability_30,bedrooms,beds,price,minimum_nights,availability_60,availability_90,availability_365,instant_bookable,host_days_on_Airbnb,Borough
0,f,t,t,3,27,34.10632,-118.22361,Private room,30,2,1.0,2.0,60.0,30,24,54,329,f,4374.0,City of Los Angeles
1,t,t,t,4,154,34.09574,-118.27788,Entire home/apt,180,1,1.0,2.0,135.0,30,11,11,131,f,2440.0,City of Los Angeles
2,t,t,t,1,314,33.9875,-118.432,Private room,1125,0,1.0,1.0,50.0,30,0,0,30,f,4901.0,City of Los Angeles
4,f,t,t,6,2,33.98301,-118.38607,Entire home/apt,730,0,2.0,3.0,115.0,30,0,0,43,f,5152.0,Other Cities
5,f,t,t,2,204,33.91942,-118.20913,Private room,25,26,1.0,1.0,75.0,1,56,86,175,f,4380.0,Other Cities
6,t,t,t,1,37,34.09625,-118.34605,Private room,550,0,1.0,1.0,93.0,30,0,0,230,t,5071.0,City of Los Angeles
7,f,t,t,3,25,34.16887,-118.64478,Entire home/apt,30,0,1.0,1.0,89.0,30,0,0,0,t,4878.0,City of Los Angeles
8,f,t,t,2,263,34.08574,-118.28536,Entire home/apt,365,30,1.0,1.0,150.0,30,60,90,365,f,4571.0,City of Los Angeles
9,t,t,t,4,269,34.11364,-118.26068,Entire home/apt,1125,0,1.0,2.0,100.0,31,0,0,157,f,4795.0,City of Los Angeles
10,t,t,t,1,23,34.0044,-118.48095,Private room,27,17,1.0,1.0,179.0,7,24,54,329,f,5070.0,Other Cities
11,t,t,t,6,163,34.01269,-118.40788,Entire home/apt,30,0,3.0,3.0,300.0,5,1,1,157,f,4365.0,Other Cities
12,f,t,t,2,0,33.8749,-118.11515,Entire home/apt,730,0,1.0,1.0,50.0,30,0,0,0,f,5062.0,Other Cities
13,f,t,t,2,236,34.06881,-118.38158,Private room,1125,12,1.0,1.0,150.0,30,37,42,317,f,4794.0,Other Cities
14,f,t,t,2,458,34.11536,-118.33211,Entire home/apt,120,0,1.0,1.0,135.0,30,0,19,294,f,4364.0,City of Los Angeles
15,f,t,t,2,23,34.1116,-118.38223,Entire home/apt,730,24,1.0,2.0,118.0,31,54,84,359,f,5055.0,City of Los Angeles
16,t,t,t,4,166,34.0309,-118.75528,Private room,365,30,1.0,1.0,450.0,2,60,86,361,f,4360.0,Other Cities
17,t,t,t,4,720,33.98522,-118.3616,Entire home/apt,14,6,,3.0,144.0,3,26,47,134,f,4182.0,Unincorporated Areas
18,f,t,t,2,393,33.77202,-118.18852,Private room,1125,0,1.0,1.0,80.0,31,0,0,0,t,4755.0,Other Cities
19,f,t,t,1,53,33.99782,-118.47698,Private room,730,0,1.0,1.0,85.0,30,0,22,297,f,4746.0,City of Los Angeles
20,f,t,f,2,3,33.99344,-118.44295,Private room,730,0,1.0,1.0,100.0,2,0,0,0,f,4358.0,Other Cities
21,t,t,t,1,26,34.15533,-118.23708,Entire home/apt,30,1,,1.0,75.0,7,6,13,287,f,4350.0,Other Cities
22,f,t,t,2,45,34.0546,-118.35495,Private room,1125,8,1.0,2.0,74.0,30,38,68,68,f,4708.0,City of Los Angeles
23,t,t,f,2,138,34.09641,-118.34979,Entire home/apt,730,5,1.0,1.0,115.0,5,9,18,69,f,4663.0,City of Los Angeles
24,t,t,t,2,295,34.08197,-118.27831,Entire home/apt,90,0,1.0,1.0,144.0,30,5,35,310,f,4169.0,City of Los Angeles
25,f,t,t,2,138,34.12206,-118.26783,Entire home/apt,365,0,1.0,1.0,75.0,30,0,0,128,f,4342.0,City of Los Angeles
26,f,t,t,2,484,34.12801,-118.31919,Entire home/apt,730,0,1.0,1.0,110.0,30,5,29,272,f,4755.0,City of Los Angeles
27,f,t,t,2,75,33.90507,-118.29217,Private room,7,9,1.0,1.0,95.0,1,35,35,252,f,4693.0,Other Cities
28,f,t,t,2,370,34.00389,-118.44126,Entire home/apt,365,10,,1.0,183.0,2,40,70,345,f,4341.0,City of Los Angeles
29,t,t,f,2,7,34.11408,-118.32234,Entire home/apt,365,0,1.0,1.0,195.0,30,0,0,154,f,4698.0,City of Los Angeles
30,t,t,t,1,185,34.05798,-118.35541,Entire home/apt,60,1,1.0,3.0,119.0,30,1,7,265,f,4165.0,City of Los Angeles
31,f,t,t,4,113,34.10943,-118.34073,Entire home/apt,730,0,1.0,1.0,99.0,31,4,34,309,f,4165.0,City of Los Angeles
33,f,t,t,1,46,33.99573,-118.47216,Entire home/apt,120,17,,2.0,99.0,30,36,57,57,f,4745.0,City of Los Angeles
34,t,t,t,6,188,34.11874,-118.32113,Entire home/apt,365,7,1.0,2.0,100.0,31,7,37,312,f,4341.0,City of Los Angeles
35,t,t,t,4,223,33.83931,-118.38638,Entire home/apt,1125,3,1.0,1.0,185.0,2,7,15,254,f,4741.0,Other Cities
36,t,t,t,2,35,34.11834,-118.31997,Entire home/apt,365,7,1.0,1.0,369.0,5,9,34,34,f,4643.0,City of Los Angeles
37,t,t,t,6,126,34.06118,-118.39804,Entire home/apt,27,2,1.0,2.0,160.0,4,3,6,208,f,4332.0,Other Cities
40,f,t,t,8,131,34.16708,-118.64441,Entire home/apt,90,5,4.0,5.0,379.0,30,35,65,154,t,4878.0,City of Los Angeles
41,t,t,t,2,34,34.15227,-118.10359,Private room,60,30,1.0,1.0,85.0,60,60,90,365,f,4333.0,Other Cities
42,t,t,t,2,78,34.04244,-118.3522,Entire home/apt,365,11,1.0,1.0,185.0,3,27,57,332,f,4630.0,City of Los Angeles
43,f,t,t,2,26,34.25419,-118.28138,Entire home/apt,62,0,2.0,2.0,90.0,31,4,31,123,f,4149.0,City of Los Angeles
44,f,t,t,2,142,34.06171,-118.37258,Entire home/apt,90,30,1.0,1.0,135.0,31,60,90,365,f,4337.0,City of Los Angeles
45,t,t,t,1,271,34.08195,-118.2784,Entire home/apt,120,4,1.0,1.0,143.0,30,4,18,293,f,4169.0,City of Los Angeles
46,f,t,t,6,7,34.16497,-118.41157,Private room,28,17,2.0,10.0,504.0,2,27,49,316,f,4627.0,City of Los Angeles
47,f,t,t,2,9,34.10998,-118.38152,Private room,730,12,1.0,1.0,65.0,30,12,34,309,f,5055.0,City of Los Angeles
48,t,t,t,8,4,33.99179,-118.45056,Entire home/apt,90,0,3.0,4.0,400.0,7,0,12,25,f,4589.0,City of Los Angeles
49,t,t,t,6,25,33.99122,-118.46898,Entire home/apt,152,12,2.0,2.0,417.0,30,13,13,18,f,4272.0,City of Los Angeles
50,t,t,t,2,12,34.11082,-118.23036,Entire home/apt,182,0,,1.0,78.0,30,0,3,268,f,4272.0,City of Los Angeles
51,t,t,t,5,61,33.99117,-118.45159,Entire home/apt,50,0,2.0,2.0,257.0,7,0,26,53,f,4589.0,City of Los Angeles
52,f,t,t,2,253,34.08363,-118.2843,Private room,365,12,1.0,1.0,75.0,30,12,34,309,f,4571.0,City of Los Angeles
53,f,t,t,1,51,34.08483,-118.36664,Private room,120,0,1.0,1.0,93.0,30,0,0,0,f,4144.0,City of Los Angeles
54,t,t,t,2,128,34.11344,-118.32399,Private room,365,24,1.0,1.0,195.0,2,39,50,312,f,4262.0,City of Los Angeles
55,f,t,t,2,464,33.96731,-118.41919,Entire home/apt,68,30,1.0,1.0,120.0,31,60,90,90,f,4143.0,City of Los Angeles
56,t,t,t,2,532,33.98047,-118.46514,Entire home/apt,10,0,1.0,1.0,129.0,3,1,3,4,f,4564.0,City of Los Angeles
59,f,t,t,2,0,34.02438,-118.38374,Private room,730,30,1.0,1.0,300.0,60,60,90,365,f,4621.0,Other Cities
60,f,t,f,3,0,34.08773,-118.25575,Entire home/apt,30,0,1.0,1.0,100.0,30,0,0,66,f,4541.0,City of Los Angeles
61,t,t,t,3,668,34.00985,-118.40798,Entire home/apt,365,1,1.0,1.0,138.0,3,1,1,228,f,4365.0,Other Cities
62,f,t,f,6,18,34.08187,-118.38965,Entire home/apt,365,10,3.0,3.0,650.0,31,11,11,209,f,4231.0,Other Cities
63,f,t,t,2,196,34.10104,-118.25659,Entire home/apt,29,0,,1.0,190.0,3,10,10,10,f,4530.0,City of Los Angeles
64,t,t,t,2,318,34.12057,-118.18934,Entire home/apt,1125,4,1.0,1.0,205.0,1,24,24,83,t,4526.0,City of Los Angeles
65,t,t,t,2,167,34.0025,-118.4657,Entire home/apt,90,10,1.0,1.0,297.0,30,34,37,37,f,4523.0,City of Los Angeles
66,f,t,t,2,1,34.03948,-118.34081,Entire home/apt,365,30,1.0,1.0,105.0,180,60,90,365,f,4138.0,City of Los Angeles
67,f,t,f,2,0,33.89581,-118.02588,Shared room,730,30,1.0,1.0,901.0,1,60,90,365,f,4226.0,Other Cities
68,f,t,t,1,26,34.15504,-118.6031,Private room,120,0,1.0,1.0,59.0,30,4,34,34,f,4130.0,City of Los Angeles
69,f,t,t,4,96,33.91942,-118.20913,Private room,25,26,1.0,2.0,95.0,1,56,86,175,f,4380.0,Other Cities
70,f,t,t,6,18,34.03735,-118.49205,Entire home/apt,365,0,3.0,3.0,550.0,330,0,0,248,f,4140.0,Other Cities
72,f,t,f,4,646,34.03833,-118.33662,Private room,90,4,1.0,2.0,115.0,2,11,16,275,f,4218.0,City of Los Angeles
73,f,t,t,2,271,33.98798,-118.47245,Entire home/apt,365,29,1.0,1.0,130.0,30,59,89,364,f,4522.0,City of Los Angeles
74,f,t,t,2,358,33.83889,-118.38537,Entire home/apt,365,7,1.0,1.0,170.0,4,7,9,284,f,4705.0,Other Cities
75,t,t,f,5,150,34.10942,-118.22003,Entire home/apt,185,2,2.0,2.0,375.0,3,4,4,4,f,4517.0,City of Los Angeles
76,f,t,t,1,19,34.04579,-118.44166,Entire home/apt,60,5,1.0,1.0,94.0,30,35,65,340,f,4498.0,City of Los Angeles
77,f,t,t,2,30,34.1674,-118.64293,Private room,60,0,1.0,1.0,89.0,30,0,0,0,f,4878.0,City of Los Angeles
78,t,t,t,2,39,34.11212,-118.32526,Entire home/apt,1125,12,2.0,2.0,393.0,5,42,72,72,f,4643.0,City of Los Angeles
79,f,t,t,1,5,34.02496,-118.38513,Private room,14,24,1.0,1.0,170.0,1,54,84,359,f,4501.0,Other Cities
80,f,t,t,2,16,34.10798,-118.3323,Private room,300,0,1.0,1.0,75.0,30,4,34,124,f,4131.0,City of Los Angeles
81,f,t,t,4,532,34.01204,-118.49715,Hotel room,1125,5,1.0,2.0,135.0,1,8,8,205,t,4338.0,Other Cities
82,f,t,t,2,161,34.18177,-118.52621,Entire home/apt,366,0,,2.0,114.0,2,0,0,37,f,4188.0,City of Los Angeles
83,t,t,t,2,222,34.07332,-118.26331,Entire home/apt,365,0,,1.0,150.0,30,6,36,311,t,4121.0,City of Los Angeles
84,f,t,t,3,185,34.10291,-118.28698,Private room,60,30,1.0,2.0,90.0,30,60,90,365,f,4452.0,City of Los Angeles
85,t,t,t,2,58,33.8465,-118.08244,Private room,28,7,1.0,1.0,57.0,2,37,63,288,f,4224.0,Other Cities
86,f,t,f,3,11,34.17309,-118.53169,Entire home/apt,364,27,,2.0,59.0,91,57,87,87,f,4457.0,City of Los Angeles
87,t,t,t,2,433,33.8271,-118.27944,Entire home/apt,90,2,,1.0,74.0,5,11,20,226,t,4113.0,Other Cities
88,f,t,t,4,196,34.08587,-118.2648,Entire home/apt,365,0,1.0,1.0,84.0,30,0,6,162,f,4113.0,City of Los Angeles
89,t,t,t,6,92,34.09395,-118.27673,Entire home/apt,362,1,2.0,3.0,180.0,30,1,1,113,f,2440.0,City of Los Angeles
90,f,t,t,4,17,34.17324,-118.38833,Entire home/apt,730,0,2.0,3.0,85.0,30,0,2,277,f,4509.0,City of Los Angeles
92,t,t,t,3,162,33.99327,-118.44407,Entire home/apt,30,0,2.0,2.0,199.0,3,4,11,158,f,4438.0,Other Cities
93,f,t,t,2,3,34.09624,-118.34656,Entire home/apt,90,0,1.0,1.0,150.0,33,1,1,32,f,3994.0,City of Los Angeles
94,f,t,t,2,332,34.01451,-118.8064,Entire home/apt,200,0,1.0,1.0,188.0,30,0,0,0,f,4434.0,Other Cities
96,f,t,t,2,12,34.04884,-118.37155,Private room,365,5,1.0,1.0,80.0,30,35,65,340,f,4105.0,City of Los Angeles
97,t,t,t,2,231,33.97713,-118.46279,Entire home/apt,180,5,1.0,1.0,196.0,31,34,55,329,f,3987.0,City of Los Angeles
98,t,t,t,2,31,34.09513,-118.36875,Entire home/apt,180,8,1.0,1.0,175.0,30,34,34,164,f,4104.0,Other Cities
100,f,t,f,2,12,34.03926,-118.38017,Private room,180,30,1.0,2.0,59.0,30,60,90,365,f,4399.0,City of Los Angeles
101,t,t,t,2,80,34.0768,-118.35301,Entire home/apt,185,0,1.0,2.0,68.0,30,0,0,219,f,4044.0,City of Los Angeles
102,f,f,f,1,93,34.04828,-118.23605,Private room,28,18,1.0,1.0,59.0,2,48,78,353,f,1746.0,City of Los Angeles
104,t,t,t,5,80,34.02886,-118.51392,Entire home/apt,365,3,1.0,3.0,218.0,2,5,6,18,t,3985.0,City of Los Angeles
105,f,t,t,2,87,34.06547,-118.40422,Entire home/apt,1125,4,2.0,2.0,149.0,3,9,20,275,f,4091.0,Other Cities
107,f,t,t,3,30,34.06581,-118.29441,Private room,760,0,1.0,2.0,62.0,30,0,0,0,f,3980.0,City of Los Angeles
108,f,t,t,4,22,34.00882,-118.33335,Entire home/apt,1125,0,2.0,2.0,150.0,30,0,21,296,f,3857.0,City of Los Angeles
109,t,t,t,4,340,34.13097,-118.70429,Private room,730,4,1.0,3.0,85.0,1,9,16,242,f,4085.0,Other Cities
110,t,t,t,4,119,33.74232,-118.30168,Private room,365,0,1.0,1.0,30.0,31,0,0,254,t,3973.0,City of Los Angeles
111,f,t,t,3,258,34.02732,-118.51856,Private room,1125,22,1.0,1.0,125.0,30,22,27,302,f,4084.0,City of Los Angeles
112,f,t,t,3,80,34.08023,-118.25646,Entire home/apt,365,0,1.0,1.0,120.0,30,0,19,294,f,4561.0,City of Los Angeles
113,t,t,f,4,162,33.92483,-118.27031,Entire home/apt,28,15,2.0,2.0,188.0,3,29,59,333,f,3856.0,City of Los Angeles
114,f,t,f,2,215,34.19226,-118.13738,Entire home/apt,365,0,1.0,1.0,99.0,14,0,8,74,f,3973.0,Unincorporated Areas
115,f,t,t,6,9,33.87213,-118.39654,Entire home/apt,90,0,3.0,3.0,279.0,30,0,0,0,f,3847.0,Other Cities
116,f,t,f,5,151,33.99125,-118.3474,Entire home/apt,180,29,2.0,2.0,121.0,31,59,89,364,f,3847.0,Unincorporated Areas
117,f,t,t,2,77,34.1831,-118.39929,Private room,90,0,1.0,2.0,55.0,31,4,31,100,t,4084.0,City of Los Angeles
118,f,t,t,4,35,34.04682,-118.43568,Entire home/apt,360,1,1.0,2.0,125.0,30,31,61,241,f,3630.0,City of Los Angeles
119,f,t,t,10,249,34.10236,-118.37752,Entire home/apt,360,30,5.0,5.0,700.0,31,60,90,365,f,4088.0,City of Los Angeles
120,f,t,t,4,13,34.08828,-118.2842,Entire home/apt,30,0,2.0,3.0,175.0,30,0,0,0,f,3846.0,City of Los Angeles
122,f,t,t,2,19,34.19644,-118.45882,Private room,28,0,1.0,1.0,50.0,2,12,31,31,f,4380.0,City of Los Angeles
123,f,t,t,3,7,34.08267,-118.64594,Entire home/apt,1125,30,1.0,2.0,360.0,1,60,90,365,f,3946.0,Unincorporated Areas
124,f,t,t,2,419,34.09729,-118.61616,Entire home/apt,14,23,1.0,1.0,97.0,1,53,83,358,t,4099.0,Unincorporated Areas
125,t,t,f,2,184,34.10039,-118.35362,Private room,1125,0,1.0,1.0,110.0,30,0,0,248,f,4725.0,City of Los Angeles
126,f,f,f,1,112,34.04827,-118.23603,Private room,28,22,,1.0,65.0,2,48,74,343,f,1746.0,City of Los Angeles
127,f,t,t,2,168,33.99492,-118.45825,Entire home/apt,90,29,1.0,1.0,699.0,31,59,89,179,f,3958.0,City of Los Angeles
128,f,t,f,2,518,34.03493,-118.4629,Entire home/apt,91,0,1.0,2.0,150.0,31,5,6,68,f,4077.0,City of Los Angeles
129,f,t,f,2,0,34.16061,-118.371,Private room,1125,0,1.0,1.0,59.0,30,0,0,0,f,3840.0,City of Los Angeles
130,f,t,t,5,102,33.9943,-118.45642,Entire home/apt,1125,29,2.0,5.0,1499.0,30,59,89,89,f,3958.0,City of Los Angeles
131,f,t,f,6,5,34.06303,-118.36374,Entire home/apt,1125,29,2.0,2.0,308.0,30,59,89,89,f,4169.0,City of Los Angeles
132,f,t,t,2,98,34.1217,-118.26329,Entire home/apt,650,0,1.0,1.0,145.0,20,13,43,295,f,4077.0,City of Los Angeles
133,t,t,f,5,237,34.09928,-118.59125,Entire home/apt,90,14,1.0,3.0,168.0,3,32,62,237,f,3996.0,Unincorporated Areas
134,f,t,t,3,216,34.18163,-118.39925,Private room,120,0,1.0,2.0,75.0,30,0,0,53,f,4084.0,City of Los Angeles
135,f,t,t,4,61,33.98335,-118.46769,Entire home/apt,90,22,2.0,2.0,205.0,30,52,81,81,f,4061.0,City of Los Angeles
136,f,t,t,4,33,34.03053,-118.37477,Private room,1125,0,2.0,2.0,150.0,3,0,0,102,f,4049.0,Other Cities
137,f,t,t,6,1,34.03676,-118.49616,Entire home/apt,1125,30,5.0,6.0,1100.0,30,60,90,365,f,4068.0,Other Cities
138,f,t,f,1,0,34.14461,-118.4158,Private room,760,0,1.0,,200.0,30,0,0,0,f,3959.0,City of Los Angeles
139,f,t,t,2,12,34.12812,-118.19416,Entire home/apt,45,0,2.0,1.0,89.0,15,0,0,0,f,4198.0,City of Los Angeles
140,f,t,t,3,7,34.12163,-118.26297,Entire home/apt,365,0,2.0,4.0,191.0,30,0,0,262,f,4077.0,City of Los Angeles
141,f,t,t,4,529,34.09793,-118.61621,Entire home/apt,14,16,1.0,2.0,123.0,1,46,73,348,t,4099.0,Unincorporated Areas
142,t,t,t,6,12,33.84705,-118.19424,Entire home/apt,320,30,2.0,3.0,355.0,31,60,90,179,t,3952.0,Other Cities
143,f,t,t,2,41,34.08708,-118.35434,Entire home/apt,60,30,1.0,2.0,114.0,30,60,90,365,f,3879.0,City of Los Angeles
144,f,t,f,2,81,34.11742,-118.78489,Private room,21,0,1.0,1.0,66.0,3,0,0,0,f,3975.0,Unincorporated Areas
145,t,t,t,2,102,34.02846,-118.51825,Entire home/apt,1125,0,1.0,1.0,80.0,30,3,5,168,t,3825.0,City of Los Angeles
146,f,t,t,2,129,33.77191,-118.39385,Private room,1001,6,1.0,2.0,78.0,30,36,66,341,f,4050.0,Other Cities
149,t,t,t,4,70,34.06246,-118.27871,Entire home/apt,365,6,2.0,2.0,245.0,3,23,26,26,f,4099.0,City of Los Angeles
150,f,t,t,4,21,34.06923,-118.34549,Entire home/apt,730,5,2.0,2.0,195.0,30,35,65,340,f,4274.0,City of Los Angeles
152,f,t,f,4,44,34.09241,-118.28065,Entire home/apt,120,28,2.0,2.0,240.0,30,58,88,88,f,3824.0,City of Los Angeles
154,t,t,t,6,98,34.07054,-118.89799,Entire home/apt,28,17,1.0,3.0,270.0,2,42,72,161,f,4029.0,Unincorporated Areas
155,t,t,t,2,510,34.00438,-118.45598,Entire home/apt,28,3,1.0,1.0,175.0,2,5,6,195,f,3937.0,City of Los Angeles
156,f,t,t,2,24,34.03441,-118.47219,Entire home/apt,90,6,2.0,2.0,129.0,7,21,21,239,f,4029.0,Other Cities
157,t,t,t,2,423,33.91961,-118.42146,Entire home/apt,180,2,1.0,2.0,131.0,2,3,18,275,t,3820.0,Other Cities
158,t,t,t,5,39,34.10053,-118.24925,Entire home/apt,365,2,1.0,3.0,140.0,30,32,62,307,f,4028.0,City of Los Angeles
159,t,t,t,3,142,34.1414,-118.40714,Entire home/apt,1125,1,1.0,2.0,225.0,2,6,16,189,f,4224.0,City of Los Angeles
160,f,t,f,2,3,33.99211,-118.476,Entire home/apt,90,0,2.0,2.0,152.0,30,0,0,0,f,4029.0,City of Los Angeles
161,f,t,t,1,30,33.97487,-118.46312,Entire home/apt,30,0,1.0,1.0,125.0,30,0,0,0,t,4026.0,City of Los Angeles
162,f,t,t,2,7,34.06418,-118.33978,Private room,90,0,1.0,1.0,67.0,30,0,0,0,t,3819.0,City of Los Angeles
163,f,t,t,4,189,34.08851,-118.42911,Entire home/apt,1125,26,2.0,2.0,957.0,3,56,86,361,f,3936.0,City of Los Angeles
164,f,t,t,2,122,33.76371,-118.12497,Private room,30,9,1.0,1.0,133.0,2,12,23,180,f,3817.0,Other Cities
165,t,t,t,4,22,34.10336,-118.32366,Entire home/apt,90,13,1.0,2.0,132.0,30,43,73,348,t,3935.0,City of Los Angeles
166,f,t,t,1,13,33.96154,-118.42373,Private room,730,0,1.0,1.0,75.0,30,0,1,276,f,4025.0,City of Los Angeles
168,t,t,t,6,26,34.10336,-118.32366,Entire home/apt,60,19,2.0,4.0,169.0,30,27,45,320,t,3935.0,City of Los Angeles
169,t,t,t,3,187,34.03073,-118.75513,Private room,365,14,1.0,1.0,350.0,2,41,67,342,f,4360.0,Other Cities
170,f,t,t,2,56,34.00351,-118.478,Entire home/apt,360,0,1.0,2.0,190.0,31,0,3,278,f,3180.0,Other Cities
171,f,t,t,4,0,34.07967,-118.28379,Entire home/apt,760,0,1.0,1.0,125.0,30,0,0,0,f,4290.0,City of Los Angeles
173,f,t,t,1,24,34.09123,-118.37953,Entire home/apt,90,8,1.0,1.0,182.0,7,8,22,237,f,3822.0,Other Cities
174,f,t,f,5,0,34.11088,-118.30782,Entire home/apt,60,0,2.0,3.0,60.0,30,0,0,0,f,4022.0,City of Los Angeles
175,f,t,t,2,37,34.0927,-118.36314,Entire home/apt,365,0,1.0,1.0,193.0,30,5,35,310,f,3932.0,Other Cities
176,f,t,t,4,84,34.11365,-118.25162,Entire home/apt,730,0,1.0,1.0,120.0,30,0,20,280,f,3859.0,City of Los Angeles
177,t,t,t,2,59,34.16108,-118.10577,Private room,365,5,1.0,1.0,103.0,2,8,38,313,f,3814.0,Other Cities
178,f,t,t,5,55,34.07103,-118.37869,Entire home/apt,90,0,2.0,5.0,265.0,30,0,0,0,t,3928.0,City of Los Angeles
179,t,t,t,4,58,34.08898,-118.25007,Entire home/apt,1125,0,2.0,1.0,181.0,31,0,1,276,f,3872.0,City of Los Angeles
180,f,t,t,2,23,34.0238,-118.40512,Entire home/apt,186,0,1.0,1.0,59.0,30,0,0,0,t,4014.0,City of Los Angeles
181,f,t,t,2,59,34.08187,-118.25663,Entire home/apt,365,0,1.0,1.0,140.0,30,0,10,285,f,4561.0,City of Los Angeles
182,f,t,t,2,57,34.10707,-118.19155,Entire home/apt,90,0,1.0,2.0,110.0,30,9,39,314,f,3929.0,City of Los Angeles
183,t,t,t,3,139,34.08618,-118.27651,Entire home/apt,90,0,1.0,2.0,138.0,30,0,3,278,f,4010.0,City of Los Angeles
184,t,t,t,6,3,34.16589,-118.12312,Entire home/apt,30,0,3.0,4.0,500.0,3,0,0,154,f,3928.0,Other Cities
185,f,t,t,1,16,34.08538,-118.34455,Entire home/apt,180,0,1.0,1.0,80.0,31,0,4,223,f,4009.0,City of Los Angeles
186,f,t,t,2,47,34.07567,-118.25068,Entire home/apt,180,0,1.0,1.0,150.0,30,0,0,31,f,3537.0,City of Los Angeles
187,f,t,t,2,124,34.50806,-118.31934,Private room,180,0,1.0,1.0,68.0,1,0,14,14,f,3925.0,Unincorporated Areas
188,t,t,t,2,545,34.09182,-118.3773,Private room,14,4,1.0,1.0,93.0,2,13,20,74,f,4505.0,Other Cities
189,f,t,f,2,3,34.03301,-118.46104,Entire home/apt,120,9,1.0,1.0,105.0,30,9,14,289,f,4345.0,City of Los Angeles
190,f,t,t,1,94,34.1042,-118.34748,Private room,31,9,1.0,2.0,42.0,31,39,69,69,f,4728.0,City of Los Angeles
191,f,t,t,1,4,34.10864,-118.32937,Private room,60,0,1.0,1.0,67.0,30,0,0,0,t,3919.0,City of Los Angeles
192,f,t,t,8,14,34.05303,-118.39449,Entire home/apt,210,27,3.0,5.0,340.0,31,57,87,267,f,4568.0,City of Los Angeles
193,f,t,f,2,4,34.09543,-118.35066,Entire home/apt,90,0,1.0,1.0,125.0,30,0,0,0,f,3808.0,City of Los Angeles
194,t,t,t,2,342,33.99764,-118.46465,Entire home/apt,31,3,1.0,1.0,235.0,3,15,32,284,f,3919.0,City of Los Angeles
195,f,t,t,4,8,33.99185,-118.47796,Entire home/apt,1125,0,2.0,1.0,319.0,30,0,0,0,t,3804.0,City of Los Angeles
196,f,t,t,1,338,34.02447,-118.48942,Private room,21,30,1.0,1.0,39.0,21,60,90,90,f,3994.0,Other Cities
197,f,t,t,4,62,33.98844,-118.46765,Entire home/apt,120,30,2.0,2.0,154.0,30,60,90,180,f,3917.0,City of Los Angeles
198,f,t,t,2,14,34.08899,-118.24415,Entire home/apt,100,0,,1.0,69.0,31,0,0,0,f,3804.0,City of Los Angeles
199,f,t,t,2,31,34.04846,-118.5381,Entire home/apt,60,0,2.0,3.0,178.0,30,6,36,126,f,3915.0,City of Los Angeles
200,t,t,t,3,28,34.09451,-118.27413,Entire home/apt,1125,0,2.0,2.0,418.0,30,0,3,278,f,3846.0,City of Los Angeles
201,f,t,t,3,7,34.10839,-118.28976,Entire home/apt,365,0,2.0,2.0,120.0,30,0,0,0,f,4058.0,City of Los Angeles
202,f,t,t,4,157,34.22532,-118.39592,Entire home/apt,120,30,2.0,2.0,99.0,30,60,90,365,f,3992.0,City of Los Angeles
203,f,t,t,1,60,34.1135,-118.16084,Private room,336,0,1.0,1.0,85.0,2,1,1,67,f,3767.0,Other Cities
204,t,t,t,1,45,33.83951,-118.38002,Private room,100,0,1.0,1.0,70.0,30,0,14,104,f,3958.0,Other Cities
205,f,t,t,3,15,34.09827,-118.352,Entire home/apt,365,11,1.0,2.0,130.0,30,41,71,346,f,3930.0,City of Los Angeles
206,f,t,t,2,66,34.07283,-118.40735,Entire home/apt,7,0,1.0,1.0,300.0,7,0,0,0,t,3928.0,Other Cities
207,t,t,f,2,215,33.99618,-118.45439,Entire home/apt,60,2,1.0,2.0,131.0,4,2,9,186,f,3910.0,City of Los Angeles
208,f,t,t,2,17,33.76478,-118.13349,Private room,1125,0,1.0,1.0,125.0,31,0,14,289,f,3758.0,Other Cities
209,f,t,t,1,24,34.09557,-118.34064,Private room,90,0,1.0,1.0,42.0,30,0,0,0,f,3860.0,City of Los Angeles
210,t,t,t,6,41,34.10336,-118.32366,Entire home/apt,60,15,2.0,5.0,186.0,30,29,56,331,t,3935.0,City of Los Angeles
211,t,t,f,2,276,33.85446,-118.39645,Private room,29,7,1.0,1.0,130.0,3,19,35,125,t,3815.0,Other Cities
212,f,t,t,3,52,33.97975,-118.46494,Entire home/apt,60,27,1.0,3.0,189.0,30,57,87,177,f,3903.0,City of Los Angeles
213,f,t,f,2,23,33.9911,-118.47861,Entire home/apt,1125,0,1.0,1.0,126.0,30,0,0,0,f,4003.0,City of Los Angeles
214,f,t,t,3,2,34.0667,-118.35127,Entire home/apt,120,0,2.0,3.0,175.0,30,0,21,296,f,3800.0,City of Los Angeles
215,f,t,t,2,154,34.00323,-118.46589,Entire home/apt,1125,2,1.0,1.0,151.0,3,9,14,279,t,3993.0,City of Los Angeles
216,f,t,t,2,0,33.99927,-118.42641,Private room,210,0,1.0,1.0,118.0,30,0,0,0,f,4204.0,City of Los Angeles
217,t,t,t,2,38,34.10914,-118.33251,Private room,90,0,1.0,1.0,85.0,3,0,0,156,f,3748.0,City of Los Angeles
218,t,t,t,4,196,34.11307,-118.60925,Entire home/apt,90,2,1.0,2.0,261.0,2,4,13,274,f,3798.0,Unincorporated Areas
219,f,t,f,6,0,33.89936,-118.25553,Shared room,365,0,1.0,1.0,36.0,360,0,0,0,f,3899.0,Unincorporated Areas
